"IPAddress","Port","User","BindType"
"172.17.91.1","60430","IHLE\compdata","Simple"
"172.17.91.1","60429","IHLE\compdata","Simple"
"172.17.91.1","60428","IHLE\compdata","Simple"
"172.17.91.1","60427","IHLE\compdata","Simple"
"172.17.91.1","60426","IHLE\compdata","Simple"
"172.17.91.1","60324","IHLE\compdata","Simple"
"172.17.91.1","60323","IHLE\compdata","Simple"
"172.17.91.1","60322","IHLE\compdata","Simple"
"172.17.91.1","60321","IHLE\compdata","Simple"
"172.17.91.1","60320","IHLE\compdata","Simple"
"172.17.91.1","60313","IHLE\compdata","Simple"
"172.17.91.1","60312","IHLE\compdata","Simple"
"172.17.91.1","60311","IHLE\compdata","Simple"
"172.17.91.1","60310","IHLE\compdata","Simple"
"172.17.91.1","60309","IHLE\compdata","Simple"
"172.17.91.1","60275","IHLE\compdata","Simple"
"172.17.91.1","60274","IHLE\compdata","Simple"
"172.17.91.1","60273","IHLE\compdata","Simple"
"172.17.91.1","60271","IHLE\compdata","Simple"
"172.17.91.1","60270","IHLE\compdata","Simple"
"172.17.91.1","60259","IHLE\compdata","Simple"
"172.17.91.1","60258","IHLE\compdata","Simple"
"172.17.91.1","60257","IHLE\compdata","Simple"
"172.17.91.1","60256","IHLE\compdata","Simple"
"172.17.91.1","60255","IHLE\compdata","Simple"
"172.17.91.1","60152","IHLE\compdata","Simple"
"172.17.91.1","60151","IHLE\compdata","Simple"
"172.17.91.1","60150","IHLE\compdata","Simple"
"172.17.91.1","60149","IHLE\compdata","Simple"
"172.17.91.1","60148","IHLE\compdata","Simple"
"172.17.91.1","60140","IHLE\compdata","Simple"
"172.17.91.1","60138","IHLE\compdata","Simple"
"172.17.91.1","60137","IHLE\compdata","Simple"
"172.17.91.1","60136","IHLE\compdata","Simple"
"172.17.91.1","60135","IHLE\compdata","Simple"
"172.17.91.1","60133","IHLE\compdata","Simple"
"172.17.91.1","60130","IHLE\compdata","Simple"
"172.17.91.1","60128","IHLE\compdata","Simple"
"172.17.91.1","60126","IHLE\compdata","Simple"
